question,option_a,option_b,option_c,option_d,correct
"Мантиқли савол: Синиши мумкин, лекин тушмайди. Тўғри жавобни топинг.",Тонг,Пешин,Кеч,Тун,A
"Топинг: Синиши мумкин, лекин тушмайди. Жавоб қайси?",Кеч,Пешин,Тун,Тонг,D
"Қуйидаги саволга жавоб беринг: Синиши мумкин, лекин тушмайди. Қайси жавоб тўғри?",Кеч,Тун,Тонг,Пешин,C
"Ўйлаб кўринг: Синиши мумкин, лекин тушмайди. Бу нима?",Пешин,Кеч,Тун,Тонг,D
"Тезкор савол: Синиши мумкин, лекин тушмайди. Нима деб ўйлайсиз?",Тонг,Тун,Кеч,Пешин,A
"Оддий савол: Синиши мумкин, лекин тушмайди. Тўғри жавобни топинг.",Пешин,Тун,Тонг,Кеч,C
"Эътибор билан ўқинг: Синиши мумкин, лекин тушмайди. Жавоб қайси?",Кеч,Пешин,Тун,Тонг,D
"Савол: Синиши мумкин, лекин тушмайди. Қайси жавоб тўғри?",Тонг,Тун,Кеч,Пешин,A
"Тушади, лекин синмайди. Бу нима?",Туш,Шом,Тонг,Кеч,D
"Жумбоқ: Тушади, лекин синмайди. Нима деб ўйлайсиз?",Кеч,Туш,Шом,Тонг,A
"Мантиқли савол: Тушади, лекин синмайди. Тўғри жавобни топинг.",Шом,Туш,Тонг,Кеч,D
"Топинг: Тушади, лекин синмайди. Жавоб қайси?",Шом,Тонг,Кеч,Туш,C
"Қуйидаги саволга жавоб беринг: Тушади, лекин синмайди. Қайси жавоб тўғри?",Шом,Туш,Кеч,Тонг,C
"Ўйлаб кўринг: Тушади, лекин синмайди. Бу нима?",Кеч,Туш,Шом,Тонг,A
"Тезкор савол: Тушади, лекин синмайди. Нима деб ўйлайсиз?",Шом,Туш,Кеч,Тонг,C
"Оддий савол: Тушади, лекин синмайди. Тўғри жавобни топинг.",Туш,Кеч,Шом,Тонг,B
"Эътибор билан ўқинг: Тушади, лекин синмайди. Жавоб қайси?",Шом,Кеч,Туш,Тонг,B
"Савол: Тушади, лекин синмайди. Қайси жавоб тўғри?",Туш,Тонг,Шом,Кеч,D
"Майда доначалар, лекин овқат эмас. Бу нима?",Қум,Туз,Қор,Ун,A
"Жумбоқ: Майда доначалар, лекин овқат эмас. Нима деб ўйлайсиз?",Қум,Туз,Ун,Қор,A
"Мантиқли савол: Майда доначалар, лекин овқат эмас. Тўғри жавобни топинг.",Қор,Қум,Ун,Туз,B
"Топинг: Майда доначалар, лекин овқат эмас. Жавоб қайси?",Қум,Қор,Туз,Ун,A
"Қуйидаги саволга жавоб беринг: Майда доначалар, лекин овқат эмас. Қайси жавоб тўғри?",Туз,Қум,Ун,Қор,B
"Ўйлаб кўринг: Майда доначалар, лекин овқат эмас. Бу нима?",Туз,Қум,Ун,Қор,B
"Тезкор савол: Майда доначалар, лекин овқат эмас. Нима деб ўйлайсиз?",Қум,Ун,Туз,Қор,A
"Оддий савол: Майда доначалар, лекин овқат эмас. Тўғри жавобни топинг.",Қор,Туз,Ун,Қум,D
"Эътибор билан ўқинг: Майда доначалар, лекин овқат эмас. Жавоб қайси?",Туз,Ун,Қум,Қор,C
"Савол: Майда доначалар, лекин овқат эмас. Қайси жавоб тўғри?",Қор,Қум,Туз,Ун,B
Сўзлар шулардан тузилади. Бу нима?,Рақам,Ҳарф,Расм,Товуш,B
Жумбоқ: Сўзлар шулардан тузилади. Нима деб ўйлайсиз?,Ҳарф,Рақам,Товуш,Расм,A
Мантиқли савол: Сўзлар шулардан тузилади. Тўғри жавобни топинг.,Расм,Товуш,Ҳарф,Рақам,C
Топинг: Сўзлар шулардан тузилади. Жавоб қайси?,Расм,Товуш,Рақам,Ҳарф,D
Қуйидаги саволга жавоб беринг: Сўзлар шулардан тузилади. Қайси жавоб тўғри?,Товуш,Расм,Ҳарф,Рақам,C
Ўйлаб кўринг: Сўзлар шулардан тузилади. Бу нима?,Расм,Ҳарф,Рақам,Товуш,B
Тезкор савол: Сўзлар шулардан тузилади. Нима деб ўйлайсиз?,Ҳарф,Товуш,Рақам,Расм,A
Оддий савол: Сўзлар шулардан тузилади. Тўғри жавобни топинг.,Ҳарф,Расм,Рақам,Товуш,A
Эътибор билан ўқинг: Сўзлар шулардан тузилади. Жавоб қайси?,Товуш,Рақам,Расм,Ҳарф,D
Савол: Сўзлар шулардан тузилади. Қайси жавоб тўғри?,Расм,Товуш,Рақам,Ҳарф,D
Санашга хизмат қиладиган белги. Бу нима?,Рақам,Белги,Ҳарф,Расм,A
Жумбоқ: Санашга хизмат қиладиган белги. Нима деб ўйлайсиз?,Белги,Рақам,Расм,Ҳарф,B
Мантиқли савол: Санашга хизмат қиладиган белги. Тўғри жавобни топинг.,Рақам,Белги,Расм,Ҳарф,A
Топинг: Санашга хизмат қиладиган белги. Жавоб қайси?,Ҳарф,Белги,Рақам,Расм,C
Қуйидаги саволга жавоб беринг: Санашга хизмат қиладиган белги. Қайси жавоб тўғри?,Рақам,Ҳарф,Расм,Белги,A
Ўйлаб кўринг: Санашга хизмат қиладиган белги. Бу нима?,Ҳарф,Расм,Рақам,Белги,C
Тезкор савол: Санашга хизмат қиладиган белги. Нима деб ўйлайсиз?,Рақам,Ҳарф,Белги,Расм,A
Оддий савол: Санашга хизмат қиладиган белги. Тўғри жавобни топинг.,Расм,Белги,Ҳарф,Рақам,D
Эътибор билан ўқинг: Санашга хизмат қиладиган белги. Жавоб қайси?,Белги,Расм,Рақам,Ҳарф,C
Савол: Санашга хизмат қиладиган белги. Қайси жавоб тўғри?,Ҳарф,Белги,Рақам,Расм,C
Деразага қўйиладиган шаффоф нарса. Бу нима?,Парда,Эшик,Ойна,Кўзгу,C
Жумбоқ: Деразага қўйиладиган шаффоф нарса. Нима деб ўйлайсиз?,Кўзгу,Парда,Ойна,Эшик,C
Мантиқли савол: Деразага қўйиладиган шаффоф нарса. Тўғри жавобни топинг.,Кўзгу,Ойна,Парда,Эшик,B
Топинг: Деразага қўйиладиган шаффоф нарса. Жавоб қайси?,Кўзгу,Эшик,Ойна,Парда,C
Қуйидаги саволга жавоб беринг: Деразага қўйиладиган шаффоф нарса. Қайси жавоб тўғри?,Парда,Ойна,Эшик,Кўзгу,B
Ўйлаб кўринг: Деразага қўйиладиган шаффоф нарса. Бу нима?,Эшик,Кўзгу,Ойна,Парда,C
Тезкор савол: Деразага қўйиладиган шаффоф нарса. Нима деб ўйлайсиз?,Кўзгу,Ойна,Парда,Эшик,B
Оддий савол: Деразага қўйиладиган шаффоф нарса. Тўғри жавобни топинг.,Ойна,Кўзгу,Эшик,Парда,A
Эътибор билан ўқинг: Деразага қўйиладиган шаффоф нарса. Жавоб қайси?,Кўзгу,Эшик,Ойна,Парда,C
Савол: Деразага қўйиладиган шаффоф нарса. Қайси жавоб тўғри?,Парда,Ойна,Кўзгу,Эшик,B
Қайси ойда 28 кун бор?,Ҳамма ойда,Фақат февралда,Фақат мартда,Фақат январда,A
Жумбоқ: Қайси ойда 28 кун бор?,Ҳамма ойда,Фақат январда,Фақат февралда,Фақат мартда,A
Мантиқли савол: Қайси ойда 28 кун бор? Тўғри жавобни танланг.,Фақат февралда,Фақат январда,Ҳамма ойда,Фақат мартда,C
Топинг: Қайси ойда 28 кун бор?,Фақат январда,Ҳамма ойда,Фақат мартда,Фақат февралда,B
Қуйидаги саволга жавоб беринг: Қайси ойда 28 кун бор?,Фақат январда,Ҳамма ойда,Фақат февралда,Фақат мартда,B
Ўйлаб кўринг: Қайси ойда 28 кун бор?,Фақат январда,Фақат мартда,Фақат февралда,Ҳамма ойда,D
Тезкор савол: Қайси ойда 28 кун бор?,Ҳамма ойда,Фақат январда,Фақат мартда,Фақат февралда,A
Оддий савол: Қайси ойда 28 кун бор? Тўғри жавобни танланг.,Фақат январда,Ҳамма ойда,Фақат мартда,Фақат февралда,B
Эътибор билан ўқинг: Қайси ойда 28 кун бор?,Ҳамма ойда,Фақат январда,Фақат мартда,Фақат февралда,A
Савол: Қайси ойда 28 кун бор?,Фақат январда,Фақат мартда,Фақат февралда,Ҳамма ойда,D
Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Сиз ухлаяпсизми?,Исмингиз нима?,Сиз очмисиз?,Кетяпсизми?,A
Жумбоқ: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Сиз очмисиз?,Сиз ухлаяпсизми?,Кетяпсизми?,Исмингиз нима?,B
Мантиқли савол: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди? Тўғри жавобни танланг.,Исмингиз нима?,Кетяпсизми?,Сиз ухлаяпсизми?,Сиз очмисиз?,C
Топинг: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Кетяпсизми?,Исмингиз нима?,Сиз ухлаяпсизми?,Сиз очмисиз?,C
Қуйидаги саволга жавоб беринг: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Кетяпсизми?,Сиз очмисиз?,Сиз ухлаяпсизми?,Исмингиз нима?,C
Ўйлаб кўринг: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Кетяпсизми?,Сиз ухлаяпсизми?,Исмингиз нима?,Сиз очмисиз?,B
Тезкор савол: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Сиз очмисиз?,Сиз ухлаяпсизми?,Исмингиз нима?,Кетяпсизми?,B
Оддий савол: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди? Тўғри жавобни танланг.,Сиз очмисиз?,Исмингиз нима?,Кетяпсизми?,Сиз ухлаяпсизми?,D
Эътибор билан ўқинг: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Сиз очмисиз?,Кетяпсизми?,Сиз ухлаяпсизми?,Исмингиз нима?,C
Савол: Қайси саволга 'ҳа' деб жавоб бериб бўлмайди?,Сиз очмисиз?,Кетяпсизми?,Исмингиз нима?,Сиз ухлаяпсизми?,D
Нима қуритган сари ўзи ҳўл бўлади?,Сув,Шамол,Сочиқ,Қуёш,C
Жумбоқ: Нима қуритган сари ўзи ҳўл бўлади?,Сочиқ,Қуёш,Шамол,Сув,A
Мантиқли савол: Нима қуритган сари ўзи ҳўл бўлади? Тўғри жавобни танланг.,Қуёш,Сув,Шамол,Сочиқ,D
Топинг: Нима қуритган сари ўзи ҳўл бўлади?,Сув,Шамол,Қуёш,Сочиқ,D
Қуйидаги саволга жавоб беринг: Нима қуритган сари ўзи ҳўл бўлади?,Сочиқ,Қуёш,Шамол,Сув,A
Ўйлаб кўринг: Нима қуритган сари ўзи ҳўл бўлади?,Шамол,Сув,Қуёш,Сочиқ,D
Тезкор савол: Нима қуритган сари ўзи ҳўл бўлади?,Сочиқ,Шамол,Қуёш,Сув,A
Оддий савол: Нима қуритган сари ўзи ҳўл бўлади? Тўғри жавобни танланг.,Шамол,Сочиқ,Қуёш,Сув,B
Эътибор билан ўқинг: Нима қуритган сари ўзи ҳўл бўлади?,Сув,Шамол,Сочиқ,Қуёш,C
Савол: Нима қуритган сари ўзи ҳўл бўлади?,Қуёш,Сочиқ,Сув,Шамол,B
Ушламасдан ҳам синдириш мумкин бўлган нарса нима?,Ваъда,Ойна,Тош,Қалам,A
Жумбоқ: Ушламасдан ҳам синдириш мумкин бўлган нарса нима деб ўйлайсиз?,Ойна,Қалам,Тош,Ваъда,D
Мантиқли савол: Ушламасдан ҳам синдириш мумкин бўлган нарса нима? Тўғри жавобни танланг.,Тош,Қалам,Ваъда,Ойна,C
Топинг: Ушламасдан ҳам синдириш мумкин бўлган нарса нима?,Тош,Қалам,Ваъда,Ойна,C
Қуйидаги саволга жавоб беринг: Ушламасдан ҳам синдириш мумкин бўлган нарса нима?,Ваъда,Тош,Қалам,Ойна,A
Ўйлаб кўринг: Ушламасдан ҳам синдириш мумкин бўлган нарса нима?,Ваъда,Қалам,Ойна,Тош,A
Тезкор савол: Ушламасдан ҳам синдириш мумкин бўлган нарса нима деб ўйлайсиз?,Тош,Ваъда,Ойна,Қалам,B
Оддий савол: Ушламасдан ҳам синдириш мумкин бўлган нарса нима? Тўғри жавобни танланг.,Ойна,Қалам,Ваъда,Тош,C
Эътибор билан ўқинг: Ушламасдан ҳам синдириш мумкин бўлган нарса нима?,Ойна,Қалам,Тош,Ваъда,D
Савол: Ушламасдан ҳам синдириш мумкин бўлган нарса нима?,Тош,Ойна,Қалам,Ваъда,D
"Калитлари бор, лекин қулф очмайди. Бу нима?",Пианино,Китоб,Қулф,Соат,A
"Жумбоқ: Калитлари бор, лекин қулф очмайди. Нима деб ўйлайсиз?",Соат,Пианино,Қулф,Китоб,B
"Мантиқли савол: Калитлари бор, лекин қулф очмайди. Тўғри жавобни топинг.",Пианино,Соат,Китоб,Қулф,A
"Топинг: Калитлари бор, лекин қулф очмайди. Жавоб қайси?",Китоб,Қулф,Соат,Пианино,D
"Қуйидаги саволга жавоб беринг: Калитлари бор, лекин қулф очмайди. Қайси жавоб тўғри?",Китоб,Қулф,Пианино,Соат,C
"Ўйлаб кўринг: Калитлари бор, лекин қулф очмайди. Бу нима?",Пианино,Соат,Қулф,Китоб,A
"Тезкор савол: Калитлари бор, лекин қулф очмайди. Нима деб ўйлайсиз?",Соат,Пианино,Қулф,Китоб,B
"Оддий савол: Калитлари бор, лекин қулф очмайди. Тўғри жавобни топинг.",Пианино,Қулф,Соат,Китоб,A
"Эътибор билан ўқинг: Калитлари бор, лекин қулф очмайди. Жавоб қайси?",Пианино,Қулф,Китоб,Соат,A
"Савол: Калитлари бор, лекин қулф очмайди. Қайси жавоб тўғри?",Китоб,Қулф,Соат,Пианино,D
"Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Бу нима?",Хат,Почта қутиси,Қалам,Марка,D
"Жумбоқ: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Нима деб ўйлайсиз?",Почта қутиси,Марка,Қалам,Хат,B
"Мантиқли савол: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Тўғри жавобни топинг.",Почта қутиси,Хат,Қалам,Марка,D
"Топинг: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Жавоб қайси?",Марка,Почта қутиси,Қалам,Хат,A
"Қуйидаги саволга жавоб беринг: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Қайси жавоб тўғри?",Марка,Почта қутиси,Хат,Қалам,A
"Ўйлаб кўринг: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Бу нима?",Почта қутиси,Марка,Қалам,Хат,B
"Тезкор савол: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Нима деб ўйлайсиз?",Марка,Қалам,Почта қутиси,Хат,A
"Оддий савол: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Тўғри жавобни топинг.",Қалам,Марка,Почта қутиси,Хат,B
"Эътибор билан ўқинг: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Жавоб қайси?",Почта қутиси,Қалам,Хат,Марка,D
"Савол: Ўзи бир бурчакда туради, лекин бутун дунёни айланади. Қайси жавоб тўғри?",Қалам,Марка,Почта қутиси,Хат,B
"Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима?",Китобингиз,Телефонингиз,Уйингиз,Исмингиз,D
"Жумбоқ: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима деб ўйлайсиз?",Телефонингиз,Китобингиз,Уйингиз,Исмингиз,D
"Мантиқли савол: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима? Тўғри жавобни танланг.",Исмингиз,Уйингиз,Китобингиз,Телефонингиз,A
"Топинг: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима?",Уйингиз,Исмингиз,Телефонингиз,Китобингиз,B
"Қуйидаги саволга жавоб беринг: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима?",Исмингиз,Уйингиз,Китобингиз,Телефонингиз,A
"Ўйлаб кўринг: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима?",Исмингиз,Уйингиз,Телефонингиз,Китобингиз,A
"Тезкор савол: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима деб ўйлайсиз?",Телефонингиз,Уйингиз,Китобингиз,Исмингиз,D
"Оддий савол: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима? Тўғри жавобни танланг.",Исмингиз,Уйингиз,Телефонингиз,Китобингиз,A
"Эътибор билан ўқинг: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима?",Телефонингиз,Уйингиз,Исмингиз,Китобингиз,C
"Савол: Сизга тегишли, аммо бошқалар сиздан кўра кўпроқ ишлатадиган нарса нима?",Телефонингиз,Уйингиз,Китобингиз,Исмингиз,D
"Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Ёш,Бўй,Соч,Кийим,A
"Жумбоқ: Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Кийим,Соч,Бўй,Ёш,D
"Мантиқли савол: Нима юқорига кўтарилаверади, лекин пастга тушмайди? Тўғри жавобни танланг.",Соч,Бўй,Ёш,Кийим,C
"Топинг: Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Бўй,Соч,Ёш,Кийим,C
"Қуйидаги саволга жавоб беринг: Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Соч,Кийим,Ёш,Бўй,C
"Ўйлаб кўринг: Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Ёш,Кийим,Соч,Бўй,A
"Тезкор савол: Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Кийим,Бўй,Соч,Ёш,D
"Оддий савол: Нима юқорига кўтарилаверади, лекин пастга тушмайди? Тўғри жавобни танланг.",Бўй,Ёш,Кийим,Соч,B
"Эътибор билан ўқинг: Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Кийим,Ёш,Бўй,Соч,B
"Савол: Нима юқорига кўтарилаверади, лекин пастга тушмайди?",Соч,Ёш,Кийим,Бўй,B
"Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Қизил бўлади,Қора бўлади,Йўқолади,Ҳўл бўлади,D
"Жумбоқ: Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Қора бўлади,Ҳўл бўлади,Йўқолади,Қизил бўлади,B
"Мантиқли савол: Қизил денгизга оқ тош ташласангиз, у нима бўлади? Тўғри жавобни танланг.",Ҳўл бўлади,Қизил бўлади,Йўқолади,Қора бўлади,A
"Топинг: Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Қизил бўлади,Ҳўл бўлади,Қора бўлади,Йўқолади,B
"Қуйидаги саволга жавоб беринг: Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Қора бўлади,Қизил бўлади,Йўқолади,Ҳўл бўлади,D
"Ўйлаб кўринг: Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Ҳўл бўлади,Қизил бўлади,Қора бўлади,Йўқолади,A
"Тезкор савол: Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Қора бўлади,Ҳўл бўлади,Қизил бўлади,Йўқолади,B
"Оддий савол: Қизил денгизга оқ тош ташласангиз, у нима бўлади? Тўғри жавобни танланг.",Қора бўлади,Ҳўл бўлади,Йўқолади,Қизил бўлади,B
"Эътибор билан ўқинг: Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Ҳўл бўлади,Қора бўлади,Қизил бўлади,Йўқолади,A
"Савол: Қизил денгизга оқ тош ташласангиз, у нима бўлади?",Йўқолади,Ҳўл бўлади,Қора бўлади,Қизил бўлади,B
"Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Саккиз дақиқа,Тўрт дақиқа,Ўн олти дақиқа,Бир дақиқа,B
"Жумбоқ: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Бир дақиқа,Ўн олти дақиқа,Саккиз дақиқа,Тўрт дақиқа,D
"Мантиқли савол: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади? Тўғри жавобни танланг.",Бир дақиқа,Ўн олти дақиқа,Тўрт дақиқа,Саккиз дақиқа,C
"Топинг: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Бир дақиқа,Тўрт дақиқа,Ўн олти дақиқа,Саккиз дақиқа,B
"Қуйидаги саволга жавоб беринг: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Тўрт дақиқа,Бир дақиқа,Ўн олти дақиқа,Саккиз дақиқа,A
"Ўйлаб кўринг: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Саккиз дақиқа,Ўн олти дақиқа,Бир дақиқа,Тўрт дақиқа,D
"Тезкор савол: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Ўн олти дақиқа,Бир дақиқа,Тўрт дақиқа,Саккиз дақиқа,C
"Оддий савол: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади? Тўғри жавобни танланг.",Бир дақиқа,Ўн олти дақиқа,Саккиз дақиқа,Тўрт дақиқа,D
"Эътибор билан ўқинг: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Саккиз дақиқа,Ўн олти дақиқа,Тўрт дақиқа,Бир дақиқа,C
"Савол: Бир тухум 4 дақиқада пишса, 4 тухум қанча вақтда пишади?",Бир дақиқа,Саккиз дақиқа,Ўн олти дақиқа,Тўрт дақиқа,D
"Хўроз томга тухум қўйса, қайси томонга юмалайди?",Пастга,Ўнг томонга,Чап томонга,Хўроз тухум қўймайди,D
"Жумбоқ: Хўроз томга тухум қўйса, қайси томонга юмалайди?",Хўроз тухум қўймайди,Пастга,Чап томонга,Ўнг томонга,A
"Мантиқли савол: Хўроз томга тухум қўйса, қайси томонга юмалайди? Тўғри жавобни танланг.",Пастга,Чап томонга,Ўнг томонга,Хўроз тухум қўймайди,D
"Топинг: Хўроз томга тухум қўйса, қайси томонга юмалайди?",Пастга,Хўроз тухум қўймайди,Ўнг томонга,Чап томонга,B
"Қуйидаги саволга жавоб беринг: Хўроз томга тухум қўйса, қайси томонга юмалайди?",Хўроз тухум қўймайди,Чап томонга,Ўнг томонга,Пастга,A
"Ўйлаб кўринг: Хўроз томга тухум қўйса, қайси томонга юмалайди?",Ўнг томонга,Пастга,Чап томонга,Хўроз тухум қўймайди,D
"Тезкор савол: Хўроз томга тухум қўйса, қайси томонга юмалайди?",Хўроз тухум қўймайди,Чап томонга,Пастга,Ўнг томонга,A
"Оддий савол: Хўроз томга тухум қўйса, қайси томонга юмалайди? Тўғри жавобни танланг.",Чап томонга,Хўроз тухум қўймайди,Ўнг томонга,Пастга,B
"Эътибор билан ўқинг: Хўроз томга тухум қўйса, қайси томонга юмалайди?",Ўнг томонга,Хўроз тухум қўймайди,Пастга,Чап томонга,B
"Савол: Хўроз томга тухум қўйса, қайси томонга юмалайди?",Хўроз тухум қўймайди,Ўнг томонга,Пастга,Чап томонга,A
Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,Ҳимолай,Эверест,Чимён,К2,B
Жумбоқ: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,Чимён,Эверест,Ҳимолай,К2,B
Мантиқли савол: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди? Тўғри жавобни танланг.,Ҳимолай,Чимён,Эверест,К2,C
Топинг: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,Ҳимолай,К2,Чимён,Эверест,D
Қуйидаги саволга жавоб беринг: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,Ҳимолай,К2,Эверест,Чимён,C
Ўйлаб кўринг: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,Ҳимолай,К2,Чимён,Эверест,D
Тезкор савол: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,Чимён,К2,Эверест,Ҳимолай,C
Оддий савол: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди? Тўғри жавобни танланг.,Эверест,Чимён,Ҳимолай,К2,A
Эътибор билан ўқинг: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,К2,Ҳимолай,Эверест,Чимён,C
Савол: Эверест кашф этилмасидан олдин энг баланд тоғ қайси эди?,Эверест,К2,Чимён,Ҳимолай,A
Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,Тўрт киши,Икки киши,"Уч киши: бобо, ота, ўғил",Беш киши,C
Жумбоқ: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,"Уч киши: бобо, ота, ўғил",Тўрт киши,Икки киши,Беш киши,A
Мантиқли савол: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай? Тўғри жавобни танланг.,Икки киши,Беш киши,"Уч киши: бобо, ота, ўғил",Тўрт киши,C
Топинг: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,Икки киши,Тўрт киши,Беш киши,"Уч киши: бобо, ота, ўғил",D
Қуйидаги саволга жавоб беринг: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,"Уч киши: бобо, ота, ўғил",Тўрт киши,Икки киши,Беш киши,A
Ўйлаб кўринг: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,Тўрт киши,"Уч киши: бобо, ота, ўғил",Беш киши,Икки киши,B
Тезкор савол: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,Икки киши,Беш киши,Тўрт киши,"Уч киши: бобо, ота, ўғил",D
Оддий савол: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай? Тўғри жавобни танланг.,"Уч киши: бобо, ота, ўғил",Тўрт киши,Беш киши,Икки киши,A
Эътибор билан ўқинг: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,Икки киши,"Уч киши: бобо, ота, ўғил",Тўрт киши,Беш киши,B
Савол: Икки ота ва икки ўғил 3 та олмани бир тадан олди. Қандай?,Тўрт киши,Икки киши,"Уч киши: бобо, ота, ўғил",Беш киши,C
Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Бир қадам ҳам,Бир қадам,Уч қадам,Икки қадам,A
Жумбоқ: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Уч қадам,Икки қадам,Бир қадам,Бир қадам ҳам,D
Мантиқли савол: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак? Тўғри жавобни танланг.,Бир қадам,Бир қадам ҳам,Уч қадам,Икки қадам,B
Топинг: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Икки қадам,Уч қадам,Бир қадам ҳам,Бир қадам,C
Қуйидаги саволга жавоб беринг: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Бир қадам ҳам,Уч қадам,Бир қадам,Икки қадам,A
Ўйлаб кўринг: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Икки қадам,Уч қадам,Бир қадам ҳам,Бир қадам,C
Тезкор савол: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Бир қадам,Икки қадам,Уч қадам,Бир қадам ҳам,D
Оддий савол: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак? Тўғри жавобни танланг.,Бир қадам ҳам,Уч қадам,Икки қадам,Бир қадам,A
Эътибор билан ўқинг: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Бир қадам ҳам,Бир қадам,Икки қадам,Уч қадам,A
Савол: Самолётга чиқишдан олдин ҳавода неча қадам ташлаш керак?,Уч қадам,Бир қадам ҳам,Икки қадам,Бир қадам,B
"Қанча кўп бўлса, шунча кам кўринади. Бу нима?",Қоронғулик,Ёмғир,Туман,Шамол,A
"Жумбоқ: Қанча кўп бўлса, шунча кам кўринади. Нима деб ўйлайсиз?",Қоронғулик,Шамол,Туман,Ёмғир,A
